County,Polling Place,First Check-In,Last Check-In, First Check-In,Last Check In,Active Registered Voters,Total Election Day Check-Ins,Total EV,Voters/Hour
APPLING,1ST ASSEMBLY OF GOD CHURCH,07:02:00,18:54:00,1899-12-30 07:02:00,1899-12-30 18:54:00,850,232,220,19.55
APPLING,ALTAMAHA FIRE STATION,07:02:00,18:59:00,1899-12-30 07:02:00,1899-12-30 18:59:00,1256,177,357,14.81
APPLING,BAX CH OF GOD/FELLOWSHIP HALL,07:03:00,18:56:00,1899-12-30 07:03:00,1899-12-30 18:56:00,1462,373,453,31.39
APPLING,BAXLEY CITY GYM,07:16:00,19:07:00,1899-12-30 07:16:00,1899-12-30 19:07:00,1160,163,275,13.76
APPLING,BIG OAKS CH. OF GOD (SOCIAL HALL),07:05:00,18:50:00,1899-12-30 07:05:00,1899-12-30 18:50:00,1108,237,247,20.17
APPLING,EXTENSION EDUCATION BLDG/ 4H,07:04:00,18:56:00,1899-12-30 07:04:00,1899-12-30 18:56:00,1573,195,433,16.43
APPLING,LIONS CLUB BLDG/ AT FAIR GROUNDS,07:03:00,18:53:00,1899-12-30 07:03:00,1899-12-30 18:53:00,2226,313,442,26.45
APPLING,ZION BAPTIST CH,07:01:00,18:54:00,1899-12-30 07:01:00,1899-12-30 18:54:00,778,193,210,16.24
APPLING,ZION CH OF GOD,07:02:00,18:55:00,1899-12-30 07:02:00,1899-12-30 18:55:00,821,192,258,16.16
ATKINSON,ATKINSON CO. ELECTION OFFICE,07:08:00,18:42:00,1899-12-30 07:08:00,1899-12-30 18:42:00,1723,249,509,21.53
ATKINSON,AXSON FIRE DEPT.,07:19:00,18:51:00,1899-12-30 07:19:00,1899-12-30 18:51:00,708,183,147,15.87
ATKINSON,PEARSON CIVIC CENTER,07:10:00,18:55:00,1899-12-30 07:10:00,1899-12-30 18:55:00,906,152,179,12.94
ATKINSON,WILLACOOCHEE CITY HALL,07:09:00,19:02:00,1899-12-30 07:09:00,1899-12-30 19:02:00,1287,296,243,24.91
BACON,BACON COUNTY ELECTIONS OFFICE,07:02:00,19:03:00,1899-12-30 07:02:00,1899-12-30 19:03:00,6450,703,2250,58.5
BAKER,ANNA COURT HOUSE,08:00:00,18:42:00,1899-12-30 08:00:00,1899-12-30 18:42:00,157,34,43,3.18
BAKER,BAKER COUNTY HISTORICAL COURTHOUSE,07:56:00,18:57:00,1899-12-30 07:56:00,1899-12-30 18:57:00,1026,132,377,11.98
BAKER,ELMODEL COURT HOUSE,08:05:00,18:51:00,1899-12-30 08:05:00,1899-12-30 18:51:00,392,40,159,3.72
BAKER,HOGGARDS MILL COURT HOUSE,08:11:00,18:59:00,1899-12-30 08:11:00,1899-12-30 18:59:00,322,55,82,5.09
BAKER,MILFORD COURT HOUSE,07:37:00,18:13:00,1899-12-30 07:37:00,1899-12-30 18:13:00,273,46,103,4.34
BALDWIN,BALDWIN COUNTY COURTHOUSE,09:12:00,18:43:00,1899-12-30 09:12:00,1899-12-30 18:43:00,478,119,75,12.5
BALDWIN,CITY HALL ANNEX,07:16:00,18:46:00,1899-12-30 07:16:00,1899-12-30 18:46:00,906,502,144,43.65
BALDWIN,COOPERS FIRE DEPT,07:14:00,18:53:00,1899-12-30 07:14:00,1899-12-30 18:53:00,1491,256,326,21.97
BALDWIN,DUNLAP ROAD FIRE STATION,07:05:00,18:59:00,1899-12-30 07:05:00,1899-12-30 18:59:00,2076,41,594,3.45
BALDWIN,EAST BALDWIN FIRE DEPARTMENT,07:56:00,19:43:00,1899-12-30 07:56:00,1899-12-30 19:43:00,3655,362,882,30.72
BALDWIN,FIRE DEPARTMENT,07:20:00,18:57:00,1899-12-30 07:20:00,1899-12-30 18:57:00,1388,122,382,10.5
BALDWIN,FORMERLY BODDIE MIDDLE SCHOOL,07:06:00,18:59:00,1899-12-30 07:06:00,1899-12-30 18:59:00,1309,142,210,11.95
BALDWIN,HARDWICK BAPTIST CHURCH,07:33:00,19:01:00,1899-12-30 07:33:00,1899-12-30 19:01:00,1227,225,160,19.62
BALDWIN,HARDWICK FIRE DEPT,07:03:00,18:58:00,1899-12-30 07:03:00,1899-12-30 18:58:00,2738,493,625,41.37
BALDWIN,MERIWETHER FIRE DEPARTMENT,07:12:00,18:57:00,1899-12-30 07:12:00,1899-12-30 18:57:00,2697,77,827,6.55
BALDWIN,NORTH BALDWIN FIRE DEPARTMENT,07:06:00,18:55:00,1899-12-30 07:06:00,1899-12-30 18:55:00,3347,116,906,9.82
BALDWIN,SCOTTSBORO WATER TOWER,07:46:00,18:57:00,1899-12-30 07:46:00,1899-12-30 18:57:00,1044,315,185,28.17
BALDWIN,WALTER B WILLIAMS REC CENTER,07:15:00,19:03:00,1899-12-30 07:15:00,1899-12-30 19:03:00,1195,168,243,14.24
BALDWIN,WEST BALDWIN FIRE DEPARTMENT,07:08:00,19:02:00,1899-12-30 07:08:00,1899-12-30 19:02:00,1766,352,454,29.58
