,County,2020 Quantity,Total Population,Polling Site Density
0,Fulton,394,1066710,0.0003693599947502133
1,Dekalb,193,764382,0.0002524915552694857
2,Gwinnett,156,957062,0.00016299884437998791
3,Cobb,145,766149,0.00018925822522772984
4,Chatham,92,295291,0.000311557074208154
5,Richmond,68,206607,0.00032912728029544015
6,Clayton,65,297595,0.00021841764814597018
7,Columbia,47,156010,0.0003012627395679764
8,Cherokee,42,266620,0.00015752756732428176
9,Henry,37,240712,0.00015371065838013892
10,Fayette,36,119194,0.0003020286256019598
11,Bibb,31,157346,0.00019701803668348733
12,Hall,31,203136,0.00015260712035286705
13,Carroll,28,119148,0.00023500184644307918
14,Dougherty,28,85790,0.00032637836577689705
15,Coweta,26,146158,0.0001778896810301181
16,Muscogee,25,206922,0.00012081847266119601
17,Floyd,25,98584,0.0002535908463848089
18,Douglas,25,144237,0.00017332584565680096
19,Clarke,24,128671,0.00018652221557305065
20,Whitfield,23,102864,0.0002235962046974646
21,Newton,22,112483,0.000195585110638941
22,Walton,21,96673,0.00021722714718690845
23,Spalding,20,67306,0.00029715032835111283
24,Thomas,20,45798,0.000436700292589196
25,Glynn,20,84499,0.00023668919158806613
26,Colquitt,19,45898,0.00041396139265327466
27,Rockdale,16,93570,0.00017099497702254996
28,Houston,17,163633,0.00010389102442661321
29,Laurens,16,49570,0.0003227758725035304
30,Bartow,17,108901,0.0001561050862710168
31,Effingham,17,64769,0.0002624712439593015
32,Forsyth,20,251283,7.959153623603666e-05
33,Jackson,4,75907,5.2696062286745624e-05
34,Dodge,16,19925,0.0008030112923462986
35,Burke,16,24596,0.0006505122784192552
36,Bulloch,16,81099,0.00019728973230249448
37,Barrow,8,83505,9.58026465481109e-05
38,Troup,14,69426,0.00020165355918531962
39,Wayne,12,30144,0.0003980891719745223
40,Worth,15,20784,0.0007217090069284065
41,Meriwether,14,20613,0.000679183039829234
42,Monroe,14,27957,0.0005007690381657546
43,Paulding,19,168661,0.00011265200609506643
44,Appling,9,18444,0.00048796356538711777
45,Camden,14,54768,0.0002556237218813906
46,Baldwin,14,43799,0.000319642000958926
47,Banks,13,18035,0.0007208206265594677
48,Gilmer,13,31353,0.0004146333684176953
49,Oconee,12,41799,0.00028708820785186247
50,Chattooga,13,24965,0.0005207290206288804
51,Liberty,13,65256,0.0001992153978178252
52,Grady,13,26236,0.0004955023631651167
53,Gordon,13,57544,0.0002259140831363826
54,Screven,12,14067,0.0008530603540200469
55,Haralson,12,29919,0.0004010829238945152
56,Tift,12,41344,0.00029024767801857584
57,Harris,12,34668,0.00034614053305642093
58,Pickens,12,33216,0.000361271676300578
59,Ware,12,36251,0.0003310253510247993
60,Fannin,12,25319,0.0004739523677870374
61,Madison,12,30120,0.00039840637450199205
62,Elbert,11,19637,0.0005601670316239751
63,Mitchell,11,21755,0.000505630889450701
64,Early,8,10854,0.0007370554634236226
