,County,Number of polling sites,Total,Polling Site Density
0,Fulton,394,1066710,0.0003693599947502133
1,Gwinnett,156,957062,0.00016299884437998791
2,Cobb,145,766149,0.00018925822522772984
3,Chatham,92,295291,0.000311557074208154
4,Richmond,68,206607,0.00032912728029544015
5,Clayton,65,297595,0.00021841764814597018
6,Columbia,47,156010,0.0003012627395679764
7,Cherokee,42,266620,0.00015752756732428176
8,Henry,37,240712,0.00015371065838013892
9,Fayette,36,119194,0.0003020286256019598
10,Hall,31,203136,0.00015260712035286705
11,Bibb,31,157346,0.00019701803668348733
12,Carroll,28,119148,0.00023500184644307918
13,Dougherty,28,85790,0.00032637836577689705
14,Coweta,26,146158,0.0001778896810301181
15,Floyd,25,98584,0.0002535908463848089
16,Douglas,25,144237,0.00017332584565680096
17,Muscogee,25,206922,0.00012081847266119601
18,Clarke,24,128671,0.00018652221557305065
19,Whitfield,23,102864,0.0002235962046974646
20,Newton,22,112483,0.000195585110638941
21,Walton,21,96673,0.00021722714718690845
22,Thomas,20,45798,0.000436700292589196
23,Glynn,20,84499,0.00023668919158806613
24,Spalding,20,67306,0.00029715032835111283
25,Forsyth,20,251283,7.959153623603666e-05
26,Paulding,19,168661,0.00011265200609506643
27,Colquitt,19,45898,0.00041396139265327466
28,Effingham,17,64769,0.0002624712439593015
29,Houston,17,163633,0.00010389102442661321
30,Bartow,17,108901,0.0001561050862710168
31,Rockdale,16,93570,0.00017099497702254996
32,Burke,16,24596,0.0006505122784192552
33,Laurens,16,49570,0.0003227758725035304
34,Dodge,16,19925,0.0008030112923462986
35,Bulloch,16,81099,0.00019728973230249448
36,Worth,15,20784,0.0007217090069284065
37,Baldwin,14,43799,0.000319642000958926
38,Troup,14,69426,0.00020165355918531962
39,Camden,14,54768,0.0002556237218813906
40,Monroe,14,27957,0.0005007690381657546
41,Meriwether,14,20613,0.000679183039829234
42,Banks,13,18035,0.0007208206265594677
43,Lowndes,13,118251,0.00010993564536452123
44,Gilmer,13,31353,0.0004146333684176953
45,Chattooga,13,24965,0.0005207290206288804
46,Liberty,13,65256,0.0001992153978178252
47,Grady,13,26236,0.0004955023631651167
48,Gordon,13,57544,0.0002259140831363826
49,Tift,12,41344,0.00029024767801857584
50,Ware,12,36251,0.0003310253510247993
51,Haralson,12,29919,0.0004010829238945152
52,Harris,12,34668,0.00034614053305642093
53,Oconee,12,41799,0.00028708820785186247
54,Wayne,12,30144,0.0003980891719745223
55,Fannin,12,25319,0.0004739523677870374
56,Madison,12,30120,0.00039840637450199205
57,Pickens,12,33216,0.000361271676300578
58,Screven,12,14067,0.0008530603540200469
59,Union,11,24632,0.0004465735628450796
60,Catoosa,11,67872,0.00016206977840641206
61,Mitchell,11,21755,0.000505630889450701
62,Sumter,11,29616,0.00037142085359265263
63,Emanuel,11,22768,0.000483134223471539
64,Walker,11,67654,0.00016259201229786857
65,Elbert,11,19637,0.0005601670316239751
66,White,11,28003,0.0003928150555297647
67,Bryan,10,44738,0.00022352362644731548
68,Hancock,10,8735,0.0011448196908986834
69,Jones,10,28347,0.00035277101633329804
70,Lee,10,33163,0.0003015408738654525
71,Wilkinson,9,8877,0.001013856032443393
72,Appling,9,18444,0.00048796356538711777
73,Decatur,9,29367,0.00030646644192460924
74,Charlton,8,12518,0.0006390797251957181
75,Barrow,8,83505,9.58026465481109e-05
76,Jefferson,8,15709,0.0005092622063785091
77,Washington,8,19988,0.00040024014408645187
78,Cook,8,17229,0.00046433339137500726
79,Early,8,10854,0.0007370554634236226
80,Tattnall,8,22842,0.00035023202871902636
81,Pierce,8,19716,0.0004057618178129438
82,Pike,8,18889,0.0004235269204298798
83,Murray,7,39973,0.00017511820478823207
84,Morgan,7,20097,0.00034831069313827936
85,Montgomery,7,8610,0.0008130081300813008
86,Peach,7,27981,0.00025016975805010544
87,Polk,7,42853,0.00016334912374862904
88,Long,7,16168,0.0004329539831766452
89,Franklin,7,23424,0.00029883879781420766
90,Dade,7,16251,0.00043074272352470615
91,Lincoln,7,7690,0.0009102730819245773
92,Talbot,7,5733,0.001221001221001221
93,Habersham,7,46031,0.00015207143012317787
94,Hart,7,25828,0.0002710236952144959
95,Brooks,7,16301,0.000429421507882952
96,Wilkes,7,9565,0.0007318348144276007
97,Coffee,6,43092,0.0001392369813422445
98,Randolph,6,6425,0.000933852140077821
99,Telfair,6,12477,0.00048088482808367395
100,Terrell,6,9185,0.00065323897659227
101,Wilcox,6,8766,0.0006844626967830253
102,Crawford,6,12130,0.000494641384995878
103,Heard,6,11412,0.0005257623554153522
104,Lamar,6,18500,0.0003243243243243243
105,Crisp,5,20128,0.0002484101748807631
106,Macon,5,12082,0.0004138387684158252
107,Toombs,5,27030,0.0001849796522382538
108,Calhoun,5,5573,0.0008971828458639871
109,Greene,5,18915,0.0002643404705260375
110,Berrien,5,18160,0.00027533039647577095
111,Jenkins,5,8674,0.000576435323956652
112,Clay,5,2848,0.0017556179775280898
113,Clinch,5,6749,0.0007408504963698325
114,Seminole,5,9147,0.0005466273095003826
115,Twiggs,5,8022,0.0006232859636000997
116,Dooly,5,11208,0.0004461099214846538
117,Putnam,5,22047,0.00022678822515534994
118,Baker,5,2876,0.0017385257301808068
119,Marion,5,7498,0.0006668444918644973
120,Glascock,4,2884,0.0013869625520110957
121,Johnson,4,9189,0.0004353030797692894
122,Candler,4,10981,0.00036426554958564794
123,Jackson,4,75907,5.2696062286745624e-05
124,Atkinson,4,8286,0.0004827419744146754
125,Upson,4,27700,0.0001444043321299639
126,Stewart,4,5314,0.0007527286413248024
127,Brantley,3,18021,0.000166472448809722
128,Jasper,3,14588,0.0002056484782012613
129,Taylor,3,7816,0.00038382804503582393
130,Oglethorpe,3,14825,0.00020236087689713323
131,Turner,3,9006,0.00033311125916055963
132,Dawson,3,26798,0.00011194865288454362
133,Towns,3,12493,0.00024013447530617146
134,Irwin,3,9666,0.00031036623215394165
135,Wheeler,2,7471,0.0002677017802168384
136,Quitman,2,2235,0.0008948545861297539
137,Taliaferro,2,1559,0.0012828736369467607
138,Treutlen,2,6406,0.00031220730565095225
139,Butts,1,25434,3.9317449083903436e-05
140,Evans,1,10774,9.281603861147207e-05
141,Bacon,1,11140,8.976660682226212e-05
142,Miller,1,6000,0.00016666666666666666
143,Echols,1,3697,0.0002704895861509332
144,Pulaski,1,9855,0.00010147133434804668
145,Rabun,1,16883,5.923117929277972e-05
146,Schley,1,4547,0.00021992522542335605
147,Webster,1,2348,0.00042589437819420784
