,County,2016 Quantity,2018 Quantity,2020 Quantity
0,Fulton,364,382,394
1,Dekalb,191,191,193
2,Gwinnett,156,156,156
3,Cobb,145,141,145
4,Chatham,89,90,92
5,Richmond,69,68,68
6,Clayton,58,58,65
7,Columbia,46,46,47
8,Cherokee,42,42,42
9,Henry,38,37,37
10,Fayette,36,36,36
11,Bibb,32,31,31
12,Hall,31,31,31
13,Carroll,30,28,28
14,Dougherty,28,28,28
15,Coweta,28,27,26
16,Muscogee,27,25,25
17,Floyd,25,25,25
18,Douglas,25,25,25
19,Clarke,24,24,24
20,Whitfield,23,23,23
21,Newton,22,22,22
22,Walton,21,21,21
23,Spalding,21,20,20
24,Thomas,20,20,20
25,Glynn,20,20,20
26,Colquitt,19,19,19
27,Rockdale,18,16,16
28,Houston,17,17,17
29,Laurens,17,16,16
30,Bartow,17,16,17
31,Effingham,17,17,17
32,Forsyth,16,16,20
33,Jackson,16,4,4
34,Dodge,16,16,16
35,Burke,16,16,16
36,Bulloch,16,16,16
37,Barrow,16,16,8
38,Troup,16,15,14
39,Wayne,15,12,12
40,Worth,15,15,15
41,Meriwether,14,14,14
42,Monroe,14,14,14
43,Paulding,14,12,19
44,Appling,14,9,9
45,Camden,14,14,14
46,Baldwin,14,14,14
47,Banks,13,13,13
48,Gilmer,13,13,13
49,Oconee,13,13,12
50,Chattooga,13,13,13
51,Liberty,13,13,13
52,Grady,13,13,13
53,Gordon,13,13,13
54,Screven,12,12,12
55,Haralson,12,12,12
56,Tift,12,12,12
57,Harris,12,12,12
58,Pickens,12,12,12
59,Ware,12,12,12
60,Fannin,12,12,12
61,Madison,12,12,12
62,Elbert,11,11,11
63,Mitchell,11,11,11
64,Early,11,8,8
65,Sumter,11,11,11
66,White,11,11,11
67,Walker,11,11,11
68,Union,11,11,11
69,Emanuel,11,11,11
70,Catoosa,11,11,11
71,Hancock,10,10,10
72,Bryan,10,10,10
73,Jones,10,10,10
74,Lee,10,10,10
75,Decatur,9,9,9
76,Lowndes,9,9,13
77,Jeff Davis,9,9,9
78,Mcduffie,9,11,9
79,Wilkinson,9,9,9
80,Randolph,9,9,6
81,Jefferson,8,8,8
82,Pierce,8,8,8
83,Irwin,8,3,3
84,Charlton,8,8,8
85,Pike,8,8,8
86,Tattnall,8,8,8
87,Greene,8,5,5
88,Washington,8,8,8
89,Cook,8,8,8
90,Morgan,7,7,7
91,Wilkes,7,7,7
92,Polk,7,7,7
93,Murray,7,7,7
94,Brooks,7,7,7
95,Peach,7,7,7
96,Talbot,7,7,7
97,Montgomery,7,7,7
98,Hart,7,7,7
99,Dade,7,7,7
100,Franklin,7,7,7
101,Long,7,7,7
102,Lincoln,7,7,7
103,Habersham,7,7,7
104,Heard,6,6,6
105,Wilcox,6,6,6
106,Crawford,6,6,6
107,Coffee,6,6,6
108,Terrell,6,6,6
109,Telfair,6,6,6
110,Mcintosh,6,6,6
111,Candler,6,6,4
112,Lamar,6,6,6
113,Dooly,5,5,5
114,Jenkins,5,5,5
115,Clinch,5,5,5
116,Toombs,5,5,5
117,Berrien,5,5,5
118,Seminole,5,5,5
119,Twiggs,5,5,5
120,Butts,5,1,1
121,Macon,5,5,5
122,Crisp,5,5,5
123,Baker,5,5,5
124,Putnam,5,5,5
125,Calhoun,5,5,5
126,Bacon,5,1,1
127,Marion,5,5,5
128,Clay,5,5,5
129,Upson,4,4,4
130,Glascock,4,4,4
131,Towns,4,4,3
132,Johnson,4,4,4
133,Lanier,4,1,1
134,Atkinson,4,4,4
135,Stewart,4,4,4
136,Oglethorpe,3,3,3
137,Taylor,3,3,3
138,Dawson,3,3,3
139,Jasper,3,3,3
140,Pulaski,3,3,1
141,Turner,3,3,3
142,Brantley,3,3,3
143,Wheeler,2,2,2
144,Quitman,2,2,2
145,Ben Hill,2,2,2
146,Treutlen,2,2,2
147,Taliaferro,2,2,2
148,Lumpkin,1,1,1
149,Rabun,1,1,1
150,Warren,1,1,1
151,Evans,1,1,1
152,Bleckley,1,1,1
153,Webster,1,1,1
154,Schley,1,1,1
155,Stephens,1,1,1
156,Miller,1,1,1
157,Echols,1,1,1
158,Chattahoochee,1,1,1
