,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others,Polling Site
0,"2, Appling County, Georgia",7000000US13001000002,3563.0,403.0,1215.0,1838.0,10.0,81.0,16.0,0.1131069323603704,0.341004771260174,0.515857423519506,0.0028066236317709,0.0227336514173449,0.0044905978108335,1
1,"1B, Appling County, Georgia",7000000US1300100001B,1834.0,76.0,1575.0,109.0,3.0,63.0,8.0,0.0414394765539803,0.8587786259541985,0.059432933478735,0.0016357688113413,0.0343511450381679,0.0043620501635768,1
2,"1C, Appling County, Georgia",7000000US1300100001C,1538.0,116.0,1242.0,150.0,5.0,25.0,0.0,0.0754226267880364,0.8075422626788037,0.0975292587776332,0.0032509752925877,0.0162548764629388,0.0,1
3,"3C, Appling County, Georgia",7000000US1300100003C,2515.0,263.0,1528.0,608.0,39.0,69.0,8.0,0.104572564612326,0.6075546719681909,0.2417495029821073,0.015506958250497,0.0274353876739562,0.0031809145129224,1
4,"4B, Appling County, Georgia",7000000US1300100004B,1321.0,62.0,1147.0,59.0,5.0,43.0,5.0,0.0469341408024224,0.8682816048448145,0.0446631339894019,0.003785011355034,0.0325510976532929,0.003785011355034,1
5,"4D, Appling County, Georgia",7000000US1300100004D,2455.0,323.0,1895.0,158.0,45.0,31.0,3.0,0.1315682281059063,0.7718940936863544,0.0643584521384928,0.0183299389002036,0.0126272912423625,0.0012219959266802,1
6,"5A, Appling County, Georgia",7000000US1300100005A,2229.0,395.0,1521.0,226.0,12.0,66.0,9.0,0.177209510991476,0.6823687752355316,0.101390758187528,0.0053835800807537,0.0296096904441453,0.0040376850605652,1
7,"5B, Appling County, Georgia",7000000US1300100005B,1843.0,163.0,1478.0,166.0,2.0,24.0,10.0,0.0884427563754747,0.801953336950624,0.0900705371676614,0.0010851871947911,0.0130222463374932,0.0054259359739555,1
8,"3A1, Appling County, Georgia",7000000US130010003A1,1146.0,24.0,1073.0,25.0,2.0,15.0,7.0,0.0209424083769633,0.93630017452007,0.0218150087260034,0.0017452006980802,0.013089005235602,0.0061082024432809,1
9,"PEARSON COUNTY, Atkinson County, Georgia",7000000US13003000001,3121.0,748.0,2106.0,174.0,1.0,69.0,23.0,0.2396667734700416,0.674783723165652,0.055751361743031,0.0003204101249599,0.0221082986222364,0.0073694328740788,1
10,"AXSON, Atkinson County, Georgia",7000000US13003000002,1322.0,239.0,1033.0,19.0,3.0,20.0,8.0,0.180786686838124,0.7813918305597579,0.0143721633888048,0.002269288956127,0.0151285930408472,0.0060514372163388,1
11,"WILLACOOCHEE, Atkinson County, Georgia",7000000US13003000003,2022.0,380.0,1129.0,462.0,0.0,41.0,10.0,0.1879327398615232,0.5583580613254204,0.228486646884273,0.0,0.0202769535113748,0.0049455984174085,1
12,"PEARSON CITY, Atkinson County, Georgia",7000000US13003000004,1821.0,681.0,533.0,553.0,8.0,37.0,9.0,0.3739703459637561,0.2926963207029104,0.3036792970895112,0.0043931905546403,0.0203185063152114,0.0049423393739703,1
13,"DOUGLAS, Bacon County, Georgia",7000000US130050DOUGL,11140.0,875.0,8103.0,1747.0,40.0,335.0,40.0,0.0785457809694793,0.7273788150807899,0.1568222621184919,0.0035906642728904,0.0300718132854578,0.0035906642728904,1
14,"ANNA, Baker County, Georgia",7000000US1300700000A,204.0,9.0,139.0,43.0,0.0,13.0,0.0,0.0441176470588235,0.6813725490196079,0.2107843137254902,0.0,0.0637254901960784,0.0,1
15,"ELMODEL, Baker County, Georgia",7000000US1300700000E,485.0,34.0,199.0,229.0,6.0,17.0,0.0,0.0701030927835051,0.4103092783505154,0.4721649484536082,0.0123711340206185,0.0350515463917525,0.0,1
16,"HOGGARDS MILL, Baker County, Georgia",7000000US1300700000H,423.0,20.0,197.0,199.0,0.0,7.0,0.0,0.0472813238770685,0.4657210401891253,0.4704491725768321,0.0,0.0165484633569739,0.0,1
17,"MILFORD, Baker County, Georgia",7000000US1300700000M,340.0,4.0,231.0,98.0,4.0,3.0,0.0,0.0117647058823529,0.6794117647058824,0.288235294117647,0.0117647058823529,0.0088235294117647,0.0,1
18,"NEWTON, Baker County, Georgia",7000000US1300700000N,1424.0,76.0,748.0,559.0,8.0,30.0,3.0,0.0533707865168539,0.5252808988764045,0.3925561797752809,0.0056179775280898,0.021067415730337,0.0021067415730337,1
19,"NORTH BALDWIN, Baldwin County, Georgia",7000000US13009000318,4892.0,164.0,3288.0,1131.0,168.0,128.0,13.0,0.0335241210139002,0.6721177432542927,0.2311937857726901,0.0343417825020441,0.026165167620605,0.0026573998364677,1
20,"WEST BALDWIN, Baldwin County, Georgia",7000000US13009000319,2631.0,42.0,1415.0,1101.0,14.0,47.0,12.0,0.0159635119726339,0.5378183200304066,0.4184720638540479,0.0053211706575446,0.0178639300646142,0.0045610034207525,1
21,"COOPERS, Baldwin County, Georgia",7000000US13009000322,2191.0,21.0,1617.0,492.0,5.0,47.0,9.0,0.0095846645367412,0.7380191693290735,0.224554997717937,0.0022820629849383,0.0214513920584208,0.004107713372889,1
22,"SCOTTSBORO, Baldwin County, Georgia",7000000US13009001714,1772.0,37.0,1126.0,532.0,11.0,56.0,10.0,0.0208803611738149,0.6354401805869074,0.3002257336343115,0.0062076749435665,0.0316027088036117,0.0056433408577878,1
23,"EAST HARDWICK, Baldwin County, Georgia",7000000US1300900321E,2056.0,59.0,400.0,1507.0,13.0,63.0,14.0,0.0286964980544747,0.1945525291828793,0.732976653696498,0.0063229571984435,0.0306420233463035,0.0068093385214007,1
24,"WEST HARDWICK, Baldwin County, Georgia",7000000US1300900321W,4369.0,77.0,1180.0,2983.0,9.0,98.0,22.0,0.0176241702906843,0.2700846875715266,0.6827649347676814,0.002059967956054,0.0224307621881437,0.0050354772259098,1
25,"SOUTH MILLEDGEVILLE, Baldwin County, Georgia",7000000US1300900CTY1,3706.0,156.0,1635.0,1689.0,76.0,104.0,46.0,0.0420939017808958,0.4411764705882353,0.4557474365893146,0.0205072854830005,0.0280626011872638,0.0124123043712898,1
26,"CITY HALL ANNEX, Baldwin County, Georgia",7000000US1300900CTY2,3520.0,74.0,1330.0,2063.0,18.0,31.0,4.0,0.0210227272727272,0.3778409090909091,0.5860795454545454,0.0051136363636363,0.0088068181818181,0.0011363636363636,1
27,"BODDIE, Baldwin County, Georgia",7000000US1300900CTY3,1697.0,87.0,612.0,910.0,12.0,55.0,21.0,0.051266941661756,0.3606364172068356,0.5362404242781379,0.0070713022981732,0.032410135533294,0.0123747790218031,1
