,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density:Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others
0,"Appling County, Georgia",0500000US13001,18444,1825,12674,3339,123,417,66,0.0989481674257211,0.6871611364129256,0.1810344827586207,0.006668835393623943,0.022608978529603124,0.0035783994795055302
1,"Atkinson County, Georgia",0500000US13003,8286,2048,4801,1208,12,167,50,0.2471638909003138,0.5794110547912141,0.14578807627323195,0.001448225923244026,0.020154477431812697,0.006034274680183442
2,"Bacon County, Georgia",0500000US13005,11140,875,8103,1747,40,335,40,0.07854578096947935,0.7273788150807899,0.15682226211849193,0.003590664272890485,0.03007181328545781,0.003590664272890485
3,"Baker County, Georgia",0500000US13007,2876,143,1514,1128,18,70,3,0.04972183588317107,0.5264255910987483,0.39221140472878996,0.006258692628650904,0.024339360222531293,0.001043115438108484
4,"Baldwin County, Georgia",0500000US13009,43799,1139,22432,18318,599,1027,284,0.026005159935158336,0.5121578118221877,0.4182287266832576,0.01367611132674262,0.02344802392748693,0.006484166305166785
5,"Banks County, Georgia",0500000US13011,18035,1164,15578,394,189,620,90,0.06454116994732464,0.8637649015802606,0.021846409758802327,0.01047962295536457,0.03437759911283615,0.0049902966454117
6,"Barrow County, Georgia",0500000US13013,83505,10560,55582,10141,3233,3383,606,0.12645949344350638,0.6656128375546374,0.12144182983054908,0.038716244536255315,0.040512544159032396,0.0072570504760194
7,"Bartow County, Georgia",0500000US13015,108901,10751,80159,11309,1169,4753,760,0.09872269308821774,0.7360722123763785,0.10384661297876052,0.010734520344165803,0.04364514559094958,0.0069788156215278094
8,"Ben Hill County, Georgia",0500000US13017,17194,1054,9219,6222,116,478,105,0.061300453646620914,0.5361754100267535,0.36187041991392344,0.006746539490519949,0.02780039548679772,0.006106781435384436
9,"Berrien County, Georgia",0500000US13019,18160,1045,14396,1934,80,611,94,0.057544052863436126,0.7927312775330396,0.1064977973568282,0.004405286343612335,0.03364537444933921,0.005176211453744493
10,"Bibb County, Georgia",0500000US13021,157346,6737,56787,85234,3209,4454,925,0.04281646816569853,0.36090526610145796,0.5416979141509793,0.02039454450701003,0.02830704307704041,0.005878763997813736
11,"Bleckley County, Georgia",0500000US13023,12583,469,8867,2788,153,257,49,0.037272510530080266,0.7046809186998331,0.22156878327902726,0.012159262497019789,0.02042438210283716,0.003894142891202416
12,"Brantley County, Georgia",0500000US13025,18021,326,16317,562,42,692,82,0.01809000610398979,0.9054436490760779,0.03118583874368792,0.002330614283336108,0.03839964485877587,0.004550246934132401
13,"Brooks County, Georgia",0500000US13027,16301,955,9066,5684,67,457,72,0.05858536286117416,0.5561621986381203,0.348690264400957,0.004110177289736826,0.028035089871787006,0.004416906938224649
14,"Bryan County, Georgia",0500000US13029,44738,3269,31321,6330,1032,2447,339,0.07306987348562743,0.7000983503956368,0.1414904555411507,0.02306763824936296,0.0546962313916581,0.007577450936563995
15,"Bulloch County, Georgia",0500000US13031,81099,4180,49712,22775,1283,2679,470,0.05154194256402669,0.6129791982638504,0.280829603324332,0.015820170409006275,0.03303369955239892,0.005795385886385776
16,"Burke County, Georgia",0500000US13033,24596,777,11941,10957,97,703,121,0.03159050252073508,0.4854854447877704,0.4454789396649862,0.003943730687916734,0.028581883233046022,0.004919499105545617
17,"Butts County, Georgia",0500000US13035,25434,803,16628,6808,102,881,212,0.03157191161437446,0.6537705433671464,0.2676731933632146,0.004010379806558151,0.03463867264291893,0.008335299205787529
18,"Calhoun County, Georgia",0500000US13037,5573,149,1766,3569,19,61,9,0.026736048806746814,0.31688498115916025,0.6404091153777139,0.003409294814283151,0.010945630719540642,0.0016149291225551767
19,"Camden County, Georgia",0500000US13039,54768,3658,37203,9497,845,2989,576,0.06679082676015191,0.679283523225241,0.17340417762196902,0.015428717499269646,0.05457566462167689,0.010517090271691499
20,"Candler County, Georgia",0500000US13043,10981,1378,6567,2681,63,244,48,0.12548948183225572,0.5980329660322375,0.24414898460978052,0.005737182405973955,0.022220198524724524,0.004371186595027775
21,"Carroll County, Georgia",0500000US13045,119148,9586,80725,21781,1104,5155,797,0.08045456071440561,0.6775187162184846,0.18280625776345386,0.009265787088327123,0.04326551851478833,0.006689159700540504
22,"Catoosa County, Georgia",0500000US13047,67872,2341,59280,1808,1025,3020,398,0.03449139556812824,0.8734087694483734,0.026638378123526638,0.015101956624233852,0.044495520980669494,0.005863979255068364
23,"Charlton County, Georgia",0500000US13049,12518,2036,7532,2386,109,383,72,0.16264579006231028,0.6016935612717687,0.19060552803962294,0.00870746125579166,0.030595941843745006,0.005751717526761463
24,"Chatham County, Georgia",0500000US13051,295291,23790,139433,108011,10620,10963,2474,0.08056459560230417,0.4721884513920167,0.3657781645901839,0.03596452313141951,0.037126089179826,0.008378176104249705
25,"Chattahoochee County, Georgia",0500000US13053,9565,1610,5403,1463,304,591,194,0.16832200731834815,0.5648719289074752,0.15295347621536853,0.03178254051228437,0.061787767903815995,0.02028227914270779
26,"Chattooga County, Georgia",0500000US13055,24965,1297,20079,2391,102,970,126,0.0519527338273583,0.8042860004005608,0.09577408371720408,0.004085720008011216,0.038854396154616465,0.005047065892249149
27,"Cherokee County, Georgia",0500000US13057,266620,32111,197867,17326,5429,11741,2146,0.12043732653214312,0.7421311229465156,0.06498387217763109,0.020362313404845848,0.04403645637986647,0.008048908558997824
28,"Clarke County, Georgia",0500000US13059,128671,14336,72201,31367,4920,4504,1343,0.11141593676896892,0.5611287702745762,0.24377676399499498,0.03823705419247538,0.035004002455875836,0.010437472313108626
29,"Clay County, Georgia",0500000US13061,2848,41,1143,1593,6,57,8,0.014396067415730338,0.40133426966292135,0.5593398876404494,0.002106741573033708,0.020014044943820225,0.0028089887640449437
30,"Clayton County, Georgia",0500000US13063,297595,42546,25902,205301,13491,7835,2520,0.14296611166182227,0.08703775265041415,0.689867101261782,0.045333422940573596,0.026327727280364255,0.008467884205043767
31,"Clinch County, Georgia",0500000US13065,6749,253,4256,1950,22,200,68,0.03748703511631353,0.6306119425100015,0.2889316935842347,0.0032597421840272634,0.029634019854793303,0.010075566750629723
32,"Cobb County, Georgia",0500000US13067,766149,111240,369182,200072,42533,34158,8964,0.14519368947815633,0.4818671041794742,0.26113980439836115,0.055515310990420924,0.04458401694709515,0.011700074006492209
33,"Coffee County, Georgia",0500000US13069,43092,5430,24158,11872,299,1188,145,0.12600946811473127,0.5606144992109905,0.27550357374918777,0.006938642903555184,0.02756892230576441,0.0033648937157709086
34,"Colquitt County, Georgia",0500000US13071,45898,8709,25588,9995,388,1014,204,0.18974682992722994,0.557497058695368,0.21776547997734105,0.008453527386814241,0.02209246590265371,0.004444638110593055
35,"Columbia County, Georgia",0500000US13073,156010,11858,99111,27621,7102,8796,1522,0.07600794820844818,0.6352861996025896,0.17704634318312928,0.045522722902378056,0.05638100121787065,0.009755784885584257
36,"Cook County, Georgia",0500000US13075,17229,1134,10658,4753,100,500,84,0.06581925822740728,0.6186081606593534,0.27587207615067616,0.00580416739218759,0.029020836960937952,0.004875500609437576
37,"Coweta County, Georgia",0500000US13077,146158,11053,99421,25544,3329,5782,1029,0.07562364017022674,0.680229614526745,0.17476976970128216,0.022776721082663966,0.039559928296774724,0.007040326222307366
38,"Crawford County, Georgia",0500000US13079,12130,415,8866,2267,31,459,92,0.034212695795548226,0.7309150865622424,0.18689200329760924,0.0025556471558120363,0.037840065952184664,0.007584501236603462
39,"Crisp County, Georgia",0500000US13081,20128,634,9892,8821,180,515,86,0.03149841017488076,0.49145468998410174,0.4382452305246423,0.008942766295707472,0.0255862480127186,0.004272655007949126
40,"Dade County, Georgia",0500000US13083,16251,364,14786,141,129,727,104,0.02239862162328472,0.9098517014337579,0.008676389145283367,0.007937973047812442,0.0447357085717802,0.006399606178081349
41,"Dawson County, Georgia",0500000US13085,26798,1605,23544,200,235,1043,171,0.059892529293230835,0.8785730278378984,0.007463243525636242,0.008769311142622584,0.038920814986193,0.006381073214418986
