,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others
1,"2, Appling County, Georgia",7000000US13001000002,3563,403,1215,1838,10,81,16
2,"1B, Appling County, Georgia",7000000US1300100001B,1834,76,1575,109,3,63,8
3,"1C, Appling County, Georgia",7000000US1300100001C,1538,116,1242,150,5,25,0
4,"3C, Appling County, Georgia",7000000US1300100003C,2515,263,1528,608,39,69,8
5,"4B, Appling County, Georgia",7000000US1300100004B,1321,62,1147,59,5,43,5
6,"4D, Appling County, Georgia",7000000US1300100004D,2455,323,1895,158,45,31,3
7,"5A, Appling County, Georgia",7000000US1300100005A,2229,395,1521,226,12,66,9
8,"5B, Appling County, Georgia",7000000US1300100005B,1843,163,1478,166,2,24,10
9,"3A1, Appling County, Georgia",7000000US130010003A1,1146,24,1073,25,2,15,7
10,"PEARSON COUNTY, Atkinson County, Georgia",7000000US13003000001,3121,748,2106,174,1,69,23
11,"AXSON, Atkinson County, Georgia",7000000US13003000002,1322,239,1033,19,3,20,8
12,"WILLACOOCHEE, Atkinson County, Georgia",7000000US13003000003,2022,380,1129,462,0,41,10
13,"PEARSON CITY, Atkinson County, Georgia",7000000US13003000004,1821,681,533,553,8,37,9
14,"DOUGLAS, Bacon County, Georgia",7000000US130050DOUGL,11140,875,8103,1747,40,335,40
15,"ANNA, Baker County, Georgia",7000000US1300700000A,204,9,139,43,0,13,0
16,"ELMODEL, Baker County, Georgia",7000000US1300700000E,485,34,199,229,6,17,0
17,"HOGGARDS MILL, Baker County, Georgia",7000000US1300700000H,423,20,197,199,0,7,0
18,"MILFORD, Baker County, Georgia",7000000US1300700000M,340,4,231,98,4,3,0
19,"NEWTON, Baker County, Georgia",7000000US1300700000N,1424,76,748,559,8,30,3
20,"NORTH BALDWIN, Baldwin County, Georgia",7000000US13009000318,4892,164,3288,1131,168,128,13
21,"WEST BALDWIN, Baldwin County, Georgia",7000000US13009000319,2631,42,1415,1101,14,47,12
22,"COOPERS, Baldwin County, Georgia",7000000US13009000322,2191,21,1617,492,5,47,9
23,"SCOTTSBORO, Baldwin County, Georgia",7000000US13009001714,1772,37,1126,532,11,56,10
24,"EAST HARDWICK, Baldwin County, Georgia",7000000US1300900321E,2056,59,400,1507,13,63,14
25,"WEST HARDWICK, Baldwin County, Georgia",7000000US1300900321W,4369,77,1180,2983,9,98,22
26,"SOUTH MILLEDGEVILLE, Baldwin County, Georgia",7000000US1300900CTY1,3706,156,1635,1689,76,104,46
27,"CITY HALL ANNEX, Baldwin County, Georgia",7000000US1300900CTY2,3520,74,1330,2063,18,31,4
28,"BODDIE, Baldwin County, Georgia",7000000US1300900CTY3,1697,87,612,910,12,55,21
29,"COURTHOUSE, Baldwin County, Georgia",7000000US1300900CTY4,3136,149,2361,458,39,67,62
30,"FIRE DEPT, Baldwin County, Georgia",7000000US1300900CTY5,1643,26,631,892,52,34,8
31,"NORTH MILLEDGEVILLE, Baldwin County, Georgia",7000000US1300900CTY6,3364,61,1485,1668,83,48,19
32,"MERIWEATHER, Baldwin County, Georgia",7000000US1300900MERI,3664,133,2363,957,82,117,12
33,"EAST BALDWIN, Baldwin County, Georgia",7000000US1300900MONT,5158,53,2989,1935,17,132,32
34,"0110001 - ANDERSON Voting District, Banks County, Georgia",7000000US13011000001,2159,84,1956,38,17,59,5
35,"0110002 - BALDWIN Voting District, Banks County, Georgia",7000000US13011000002,1209,173,965,9,26,34,2
36,"0110003 - BERLIN Voting District, Banks County, Georgia",7000000US13011000003,545,10,482,12,20,19,2
37,"0110004 - BUSHVILLE Voting District, Banks County, Georgia",7000000US13011000004,1220,91,1014,56,11,43,5
38,"0110005 - COLUMBIA Voting District, Banks County, Georgia",7000000US13011000005,495,29,436,9,0,19,2
39,"0110006 - DAVIDS Voting District, Banks County, Georgia",7000000US13011000006,2685,97,2292,97,46,138,15
40,"0110007 - GOLDEN HILL Voting District, Banks County, Georgia",7000000US13011000007,1615,271,1270,10,7,46,11
41,"0110008 - GROVE RIVER Voting District, Banks County, Georgia",7000000US13011000008,779,65,671,5,3,29,6
42,"0110009 - HOLLINGSWORTH Voting District, Banks County, Georgia",7000000US13011000009,938,59,830,12,6,23,8
43,"0110010 - HOMER Voting District, Banks County, Georgia",7000000US13011000010,2136,87,1907,56,6,71,9
44,"0110011 - POPLAR SPRINGS Voting District, Banks County, Georgia",7000000US13011000011,2430,128,2123,61,23,85,10
45,"0110012 - WASHINGTON Voting District, Banks County, Georgia",7000000US13011000012,1016,42,892,20,17,37,8
46,"0110013 - WILMONTS Voting District, Banks County, Georgia",7000000US13011000013,808,28,740,9,7,17,7
47,"01, Barrow County, Georgia",7000000US13013000001,5196,785,3593,414,183,177,44
48,"02, Barrow County, Georgia",7000000US13013000002,5083,445,3793,344,282,195,24
49,"03, Barrow County, Georgia",7000000US13013000003,4948,610,3501,307,258,251,21
50,"04, Barrow County, Georgia",7000000US13013000004,3777,498,2715,242,164,132,26
51,"05, Barrow County, Georgia",7000000US13013000005,7515,784,5156,960,311,254,50
52,"06, Barrow County, Georgia",7000000US13013000006,3656,334,2430,493,175,179,45
53,"07, Barrow County, Georgia",7000000US13013000007,4524,413,3084,700,114,196,17
54,"08, Barrow County, Georgia",7000000US13013000008,4772,438,3626,289,197,190,32
55,"09, Barrow County, Georgia",7000000US13013000009,5165,698,3620,494,139,194,20
56,"10, Barrow County, Georgia",7000000US13013000010,5978,951,2796,1720,172,268,71
57,"11, Barrow County, Georgia",7000000US13013000011,7348,1377,4001,1310,256,332,72
58,"12, Barrow County, Georgia",7000000US13013000012,4206,568,3067,226,108,198,39
59,"13, Barrow County, Georgia",7000000US13013000013,4384,478,3047,511,113,203,32
60,"14, Barrow County, Georgia",7000000US13013000014,2258,299,1565,145,170,69,10
61,"15, Barrow County, Georgia",7000000US13013000015,4927,485,3796,206,249,169,22
62,"16, Barrow County, Georgia",7000000US13013000016,9768,1397,5792,1780,342,376,81
63,"ADAIRSVILLE, Bartow County, Georgia",7000000US13015000001,10368,565,8380,765,116,458,84
64,"ALLATOONA, Bartow County, Georgia",7000000US13015000002,6677,1120,4861,309,59,271,57
65,"CARTERSVILLE EAST, Bartow County, Georgia",7000000US13015000003,11581,1710,7007,2087,202,485,90
66,"CARTERSVILLE WEST, Bartow County, Georgia",7000000US13015000004,11544,1354,7536,2052,143,403,56
67,"CASSVILLE, Bartow County, Georgia",7000000US13015000005,16605,2090,11916,1535,228,725,111
68,"CENTER, Bartow County, Georgia",7000000US13015000006,5177,268,4240,334,64,227,44
69,"EMERSON, Bartow County, Georgia",7000000US13015000007,4453,408,3569,158,26,240,52
70,"EUHARLEE, Bartow County, Georgia",7000000US13015000008,7437,466,5871,626,24,409,41
71,"FOLSOM, Bartow County, Georgia",7000000US13015000009,2095,123,1863,24,2,75,8
72,"KINGSTON, Bartow County, Georgia",7000000US13015000010,3991,184,3333,238,9,206,21
73,"MISSION ROAD, Bartow County, Georgia",7000000US13015000011,5760,519,4212,680,33,246,70
74,"PINE LOG, Bartow County, Georgia",7000000US13015000012,2935,122,2632,26,5,134,16
75,"TAYLORSVILLE, Bartow County, Georgia",7000000US13015000014,3969,205,3508,60,16,168,12
76,"WHITE, Bartow County, Georgia",7000000US13015000015,3546,143,3140,80,11,157,15
77,"ZENA DRIVE, Bartow County, Georgia",7000000US13015000016,10158,1248,6028,2152,221,432,77
78,"WOODLAND HIGH, Bartow County, Georgia",7000000US13015000018,2605,226,2063,183,10,117,6
79,"EAST, Ben Hill County, Georgia",7000000US13017000001,6850,526,3065,2986,24,196,53
